# Master Looter-menyns text på svenska.
# Maskinöversatt av Claude, en AI från Anthropic. Ingen som talar
# svenska som modersmål har granskat den här filen än. Rättelser tas
# gärna emot på GitHub (github.com/shin2344234/master-looter) eller på
# moddens Nexus-sida.
#
# En rad per text: originalet på engelska, ett tabbtecken, sedan
# översättningen. Rader som börjar med # ignoreras. \n betyder ett
# radbyte i texten. En rad utan översättning efter tabbtecknet visas
# på engelska. Behåll alla %d, %s, %.1f och liknande exakt som de
# står och i samma ordning: de fylls i med siffror och namn när
# spelet körs.
#
# En fil med det här namnet bredvid MasterLooter.asi ersätter den
# inbyggda kopian.

  bag full	  väska full
 (first 250)	 (första 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu träffar)%s
%d classes	%d klasser
%d items, %d classes, %d tags	%d föremål, %d klasser, %d taggar
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d rad(er) ignorerades: deras %%d- eller %%s-platshållare matchade inte den engelska texten, och att använda dem hade skrivit ut fel värden.
%d matches%s	%d träffar%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d nodtyper har lärts in denna session. Noder namnges efter den prefab de placerades från; allt som saknas i den tabellen identifieras första gången det ger något. En nods typnummer ändras mellan sessioner, så inget kommer ihåg efter att du avslutat.
%d objects within scan range, %d lootable now.	%d objekt inom skanningsavstånd, %d går att loota nu.
%d overrides	%d undantag
%s (key %u, row %d, tier %d)	%s (tangent %u, rad %d, nivå %d)
%s (never looted)	%s (aldrig lootat)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s är en maskinöversättning som ingen har granskat än. Rättelser tas emot på GitHub eller på Nexus-sidan.
%s translated by %s.	%s översatt av %s.
%s, let go to keep it	%s, släpp för att spara
1 match%s	1 träff%s
3 of 3	3 av 3
\"%s\" already exists. Saving over it asks first.	\"%s\" finns redan. Att spara över den kräver bekräftelse.
A pet loots whatever it likes and the game has no switch for it. On: anything a pet, a mercenary or a companion picks up that your item rules, tags, classes or value floor would have refused is deleted from the inventory as it lands, and a notice says what went. Quest and protected items are never deleted, and nothing already in your bag is touched.\n\nWorth knowing before you turn this on: the game raises a companion's pick-up of a loose item as if you had picked it up yourself, and there is no way to tell the two apart. So while one is out and active, something you pick up by hand that your own rules refuse is deleted along with theirs. With nobody out, nothing you pick up is ever touched. If you would rather keep everything and sort it yourself, leave this off.	Ett husdjur plockar upp vad det vill och spelet har ingen inställning för det. På: allt som ett husdjur, en legosoldat eller en följeslagare plockar upp och som dina föremålsregler, etiketter, klasser eller värdegräns skulle ha nekat raderas ur inventariet så snart det kommer in, och ett meddelande säger vad som försvann. Uppdragsföremål och skyddade föremål raderas aldrig, och inget som redan ligger i din väska rörs.\n\nVärt att veta innan du slår på det här: spelet rapporterar att en följeslagare plockar upp ett löst föremål från marken som om du hade plockat upp det själv, och de två går inte att skilja åt. Så länge någon är ute och aktiv raderas alltså något du plockar upp för hand och som dina egna regler nekar tillsammans med dennes fynd. Är ingen ute rörs aldrig något du plockar upp. Vill du hellre behålla allt och sortera själv, låt det här vara avstängt.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	En brunnshink och liknande lootas aldrig, men att trigga en gör att spelet erbjuder sin interaktion så att du kan använda den för hand.
Abyss and Kuku	Abyss och Kuku
Abyss gear, Kuku pots and their parts.	Abyss-utrustning, Kuku-krukor och deras delar.
Accessories	Tillbehör
allowed	tillåtet
already in your bag	redan i din väska
always	alltid
always beats the class rule; never beats always	alltid vinner över klassregeln; aldrig vinner över alltid
Ammunition	Ammunition
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Allt taggat quest, oavsett klass. Av håller kvar berättelseföremål och pusselbitar för dina egna händer.
Arm mechanism containers too	Trigga även mekanismbehållare
Arm nodes ourselves	Trigga noder själva
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Triggning ignorerar väggar. Håll den kort, annars skördar du genom väggen till nästa rum. Malm är undantaget och nås alltid på upp till 25 m, eftersom en åder tar sekunder att svara, och att fråga först när du står ovanpå den gör att den öppnas för sent för att vara till någon nytta.
Arming range	Triggavstånd
Auto-loot enabled	Autoloot aktiverat
Auto-loot on / off	Autoloot på/av
Backups	Säkerhetskopior
blank for English	tomt för engelska
Books and papers	Böcker och papper
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Bossbelöningar, artefakter, minnesföremål, myntpåsar och belöningskistor.
Break veins open rather than emptying them	Bryt upp ådror i stället för att tömma dem
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Att bryta driver spelets egen tillståndsmaskin vid ådern: hugget landar och sedan brottet, så noden spiller sitt innehåll på marken och försvinner precis som under en hacka. Att tömma lyfter i stället ut malmen direkt och hoppar över spillet helt. Ingen av vägarna betalar ut ditt verktygs Ökad malmutvinning, som spelet bara ger för ett hugg det räknar som ditt, så ställ in tillägget nedan för att kompensera för skillnaden. Varje åder träffas en gång och lämnas sedan orörd tills spelet återskapar den.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Fjärilar, skalbaggar, trollsländor, bin, spindlar, skorpioner, snäckor och andra småkryp som spelet klassar som insekter. Arter hämtas från varelsetabellen; en varelse som tabellen inte kan namnge fångas bara när alla kategorier den skulle kunna tillhöra är på (något flygande kan vara en fisk, en insekt eller en fågel).
captured	fångad
Carcasses	Kadaver
Carcasses and bodies	Kadaver och kroppar
Bodies	Kroppar
carcasses off	kadaver av
bodies off	kroppar av
Catching	Fångst
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Fångade varelser, levande eller liggande; en varelse som tabellen kan namnge följer sin klassregel. Krabbor, räkor och bläckfisk räknas som skaldjur under Mat och dryck.
Class	Klass
class %s	klass %s
Classes	Klasser
Clear	Rensa
Clear overrides	Rensa undantag
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Rensar det som den här sessionen räknat ut från din väska. Noder som namnges av prefab-tabellen påverkas inte.
Close	Stäng
container (off)	behållare (av)
Containers	Behållare
containers off	behållare av
Controller	Handkontroll
Copper	Koppar
Copy	Kopiera
Copy path	Kopiera sökväg
Copy to the clipboard.	Kopiera till urklipp.
corpse	lik
corpse already searched	liket redan genomsökt
corpse: loot drops separately	lik: bytet faller separat
creature	varelse
Creatures	Varelser
Crops	Grödor
crops off	grödor av
Damaged gear	Skadad utrustning
Dead zone around you	Dödzon runt dig
Decision	Beslut
default	standard
DirectX 12 hooks	DirectX 12-hookar
does not respond	svarar inte
Draw water from wells	Dra upp vatten ur brunnar
Engine	Motor
English	Engelska
English. %d line(s) seen this session.	Engelska. %d rad(er) sedda denna session.
entity	entitet
entity %08X	entitet %08X
entity %08X, %d items across every store	entitet %08X, %d föremål i alla förråd
entity %08X, bag %d of %d slots, %d items across every store	entitet %08X, väska %d av %d platser, %d föremål i alla förråd
Event descriptors	Händelsedeskriptorer
