# Master Looter-menuteksten på dansk (da). Maskinoversat. Ingen indfødt
# dansktalende har gennemgået oversættelsen endnu. Rettelser modtages gerne på
# GitHub (github.com/shin2344234/master-looter) eller på moddets Nexus-side.
#
# Én linje pr. tekst: den engelske original, et tabulatortegn og
# oversættelsen. Linjer, der starter med #, ignoreres. \n betyder et
# linjeskift. En linje uden oversættelse efter tabulatoren vises fortsat
# på engelsk, så en delvist færdig fil sagtens kan bruges.
# Hold hvert %d, %s, %.1f og lignende pladsholder præcis som det står og
# i samme rækkefølge: de udfyldes med tal og navne, når spillet kører, og
# en linje, der ændrer dem, ignoreres i stedet for at blive brugt forkert.
#
# Gem filen som MasterLooter.da.txt ved siden af MasterLooter.asi; den
# tilsidesætter den indbyggede kopi i pluginet.

  bag full	  tasken er fuld
 (first 250)	 (de første 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu forekomster)%s
%d classes	%d klasser
%d items, %d classes, %d tags	%d genstande, %d klasser, %d mærker
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d linje(r) blev ignoreret: deres %%d- eller %%s-pladsholdere passede ikke med den engelske tekst, og at bruge dem ville vise forkerte værdier.
%d matches%s	%d resultater%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d punkttyper er lært i denne session. Punkter navngives efter den prefab, de er placeret fra; alt, som den tabel mangler, identificeres første gang det giver noget. Et punkts typenummer skifter mellem sessioner, så intet huskes, når du lukker spillet.
%d objects within scan range, %d lootable now.	%d genstande inden for scanningsrækkevidde, %d klar til at blive lootet nu.
%d overrides	%d tilsidesættelser
%s (key %u, row %d, tier %d)	%s (nøgle %u, række %d, niveau %d)
%s (never looted)	%s (aldrig lootet)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s er en maskinoversættelse, som ingen har gennemgået endnu. Rettelser er velkomne på GitHub eller Nexus-siden.
%s translated by %s.	%s oversat af %s.
%s, let go to keep it	%s, slip for at beholde den
1 match%s	1 resultat%s
3 of 3	3 af 3
\"%s\" already exists. Saving over it asks first.	\"%s\" findes allerede. At gemme over det spørger først.
A pet loots whatever it likes and the game has no switch for it. On: anything a pet, a mercenary or a companion picks up that your item rules, tags, classes or value floor would have refused is deleted from the inventory as it lands, and a notice says what went. Quest and protected items are never deleted, and nothing already in your bag is touched.\n\nWorth knowing before you turn this on: the game raises a companion's pick-up of a loose item as if you had picked it up yourself, and there is no way to tell the two apart. So while one is out and active, something you pick up by hand that your own rules refuse is deleted along with theirs. With nobody out, nothing you pick up is ever touched. If you would rather keep everything and sort it yourself, leave this off.	Et kæledyr samler op, hvad det har lyst til, og spillet har ingen kontakt til det. Til: alt, hvad et kæledyr, en lejesvend eller en ledsager samler op, og som dine genstandsregler, mærkater, klasser eller værdigrænse ville have afvist, slettes fra inventaret, så snart det lander, og en meddelelse fortæller, hvad der forsvandt. Questgenstande og beskyttede genstande slettes aldrig, og intet, der allerede ligger i din taske, røres.\n\nVærd at vide, før du slår det til: spillet melder en ledsagers opsamling af en løs genstand på jorden, som om du selv havde samlet den op, og de to kan ikke skelnes fra hinanden. Så længe en er ude og aktiv, bliver noget, du samler op med hånden, og som dine egne regler afviser, slettet sammen med dennes fund. Er ingen ude, røres intet af det, du samler op. Vil du hellere beholde alt og sortere det selv, så lad det være slået fra.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	En brøndspand og lignende bliver aldrig lootet, men at aktivere en får spillet til at tilbyde sin interaktion, så du selv kan bruge den.
Abyss and Kuku	Abyss og Kuku
Abyss gear, Kuku pots and their parts.	Abyss-udstyr, Kuku-krukker og deres dele.
Accessories	Tilbehør
allowed	tilladt
already in your bag	allerede i din taske
always	altid
always beats the class rule; never beats always	altid slår klassereglen; aldrig slår altid
Ammunition	Ammunition
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Alt mærket som quest, på tværs af alle klasser. Fra holder historiegenstande og puslespilsbrikker til dine egne hænder.
Arm mechanism containers too	Aktivér også mekanismebeholdere
Arm nodes ourselves	Aktivér punkter selv
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Aktivering ignorerer vægge. Hold den kort, ellers indsamler du gennem væggen til næste rum. Malm er undtagelsen og forsøges altid op til 25 m væk, fordi en åre tager sekunder om at svare, og først at spørge, når du står oven på den, betyder, at den åbner for sent til at være til nogen nytte.
Arming range	Aktiveringsrækkevidde
Auto-loot enabled	Automatisk loot aktiveret
Auto-loot on / off	Automatisk loot til/fra
Backups	Sikkerhedskopier
blank for English	tomt for engelsk
Books and papers	Bøger og papirer
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Bossbelønninger, artefakter, hukommelsesgenstande, møntpunge og belønningskister.
Break veins open rather than emptying them	Bryd årer op i stedet for at tømme dem
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	At bryde driver spillets egen tilstandsmaskine ved åren: slaget rammer, og så følger bruddet, så punktet spilder sit indhold på jorden og forsvinder præcis som under en hakke. At tømme løfter i stedet malmen lige ud og springer faldet helt over. Ingen af de to metoder udløser din værktøjs Mining Yield Up, som spillet kun giver et slag, det regner for dit eget, så sæt ekstraydelsen nedenfor for at opveje forskellen. Hver åre rammes én gang og lades derefter i fred, indtil spillet genskaber den.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Sommerfugle, biller, guldsmede, bier, edderkopper, skorpioner, snegle og de andre små ting, spillet registrerer som insekter. Arter kommer fra skabningstabellen; en skabning, tabellen ikke kan navngive, fanges kun, når alle kategorier, den kunne tilhøre, er slået til (noget flyvende kunne være en fisk, et insekt eller en fugl).
captured	fanget
Carcasses	Kadavere
Carcasses and bodies	Kadavere og lig
Bodies	Lig
carcasses off	kadavere fra
bodies off	lig fra
Catching	Fangst
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Fangede skabninger, levende eller liggende omkring; en skabning, tabellen kan navngive, følger sin klasseregel. Krabber, rejer og blæksprutter er fisk og skaldyr under Mad og drikke.
Class	Klasse
class %s	klasse %s
Classes	Klasser
Clear	Ryd
Clear overrides	Ryd tilsidesættelser
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Rydder, hvad denne session har regnet ud fra din taske. Punkter navngivet af prefab-tabellen påvirkes ikke.
Close	Luk
container (off)	beholder (fra)
Containers	Beholdere
containers off	beholdere fra
Controller	Controller
Copper	Kobber
Copy	Kopiér
Copy path	Kopiér sti
Copy to the clipboard.	Kopiér til udklipsholderen.
corpse	lig
corpse already searched	lig allerede ransaget
corpse: loot drops separately	lig: loot falder separat
creature	skabning
Creatures	Skabninger
Crops	Afgrøder
crops off	afgrøder fra
Damaged gear	Beskadiget udstyr
Dead zone around you	Dødzone omkring dig
Decision	Beslutning
default	standard
DirectX 12 hooks	DirectX 12-hooks
does not respond	svarer ikke
Draw water from wells	Hent vand fra brønde
Engine	Motor
English	Engelsk
English. %d line(s) seen this session.	Engelsk. %d linje(r) set i denne session.
entity	entity
entity %08X	entity %08X
entity %08X, %d items across every store	entity %08X, %d genstande på tværs af alle lagre
entity %08X, bag %d of %d slots, %d items across every store	entity %08X, taske %d af %d pladser, %d genstande på tværs af alle lagre
Event descriptors	Hændelsesdeskriptorer
