# Текст меню Master Looter на русском языке (ru). Машинный перевод; его пока
# не проверял живой носитель языка. Исправления приветствуются на GitHub
# (github.com/shin2344234/master-looter) или на странице мода на Nexus.
#
# Одна строка — одна фраза: сначала оригинал на английском, затем
# табуляция, затем перевод. Строки, начинающиеся с #, игнорируются. \n
# означает перенос строки внутри фразы. Если после табуляции ничего нет,
# строка остаётся на английском, поэтому недоделанный файл всё равно
# пригоден для использования.
# Каждый %d, %s, %.1f и другой заполнитель нужно сохранять в точности и
# в том же порядке — во время игры вместо них подставляются числа и
# имена, а строка с изменённым порядком заполнителей при загрузке
# игнорируется.
#
# Эта копия встроена в плагин. Чтобы изменить её без пересборки, положите
# файл с этим именем рядом с MasterLooter.asi — он в этом случае и будет
# использован вместо встроенной копии.

  bag full	  сумка заполнена
 (first 250)	 (первые 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu совпадений)%s
%d classes	%d классов
%d items, %d classes, %d tags	%d предметов, %d классов, %d тегов
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	Пропущено строк: %d. Их метки %%d или %%s не совпадают с английским текстом, и их использование привело бы к неверным значениям.
%d matches%s	%d совпадений%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	Типов точек, изученных за эту сессию: %d. Точки называются по префабу, из которого они были созданы; то, что отсутствует в этой таблице, определяется, как только впервые что-то даёт. Числовой тип точки меняется между сессиями, поэтому после выхода ничего не запоминается.
%d objects within scan range, %d lootable now.	%d объектов в радиусе сканирования, %d доступно для лута сейчас.
%d overrides	%d переопределений
%s (key %u, row %d, tier %d)	%s (ключ %u, строка %d, уровень %d)
%s (never looted)	%s (ни разу не подобрано)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s — машинный перевод, который пока никто не проверил. Исправления приветствуются на GitHub или на странице мода на Nexus.
%s translated by %s.	Перевод на %s: %s.
%s, let go to keep it	%s, отпустите, чтобы сохранить
1 match%s	1 совпадение%s
3 of 3	3 из 3
\"%s\" already exists. Saving over it asks first.	\"%s\" уже существует. Перезапись потребует подтверждения.
