# Κείμενο μενού του Master Looter στα Ελληνικά.
# Αυτή είναι αυτόματη μετάφραση από το Claude, ένα AI της Anthropic, και δεν
# την έχει ελέγξει ακόμα κανένας φυσικός ομιλητής. Διορθώσεις είναι ευπρόσδεκτες
# στο GitHub (github.com/shin2344234/master-looter) ή στη σελίδα του mod στο Nexus.
#
# Μία γραμμή ανά κείμενο: το αγγλικό πρωτότυπο, μια στηλοθέτηση (tab) και μετά
# η μετάφραση. Γραμμές που ξεκινούν με # αγνοούνται. Το \n μέσα σε ένα κείμενο
# σημαίνει αλλαγή γραμμής. Μια γραμμή χωρίς μετάφραση μετά τη στηλοθέτηση
# εμφανίζεται στα αγγλικά, οπότε ένα μισοτελειωμένο αρχείο λειτουργεί κανονικά.
# Κάθε %d, %s, %.1f και τα λοιπά πρέπει να διατηρηθούν ακριβώς όπως είναι και
# με την ίδια σειρά: αντικαθίστανται με αριθμούς και ονόματα κατά την εκτέλεση,
# και μια γραμμή που τα αλλάζει αγνοείται αντί να ρισκάρει λάθος τιμές.
#
# Αποθήκευσέ το ως MasterLooter.el.txt δίπλα στο plugin ώστε να αντικαταστήσει
# το ενσωματωμένο αντίγραφο, και όρισε Language=el στο MasterLooter.ini ή
# πληκτρολόγησε τη γλώσσα στο General, Language.

  bag full	  τσάντα γεμάτη
 (first 250)	 (πρώτα 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu ευρήματα)%s
%d classes	%d κατηγορίες
%d items, %d classes, %d tags	%d αντικείμενα, %d κατηγορίες, %d ετικέτες
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d γραμμή(ές) αγνοήθηκαν: οι δεσμευτικές θέσεις %%d ή %%s τους δεν ταίριαζαν με το αγγλικό, και η χρήση τους θα εμφάνιζε λανθασμένες τιμές.
%d matches%s	%d αποτελέσματα%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d είδη κόμβων μαθεύτηκαν σε αυτή τη συνεδρία. Οι κόμβοι ονομάζονται από το prefab από το οποίο τοποθετήθηκαν· ό,τι λείπει από αυτόν τον πίνακα αναγνωρίζεται την πρώτη φορά που αποδίδει κάτι. Ο αριθμός τύπου ενός κόμβου αλλάζει μεταξύ συνεδριών, οπότε τίποτα δεν θυμάται μετά την έξοδο.
%d objects within scan range, %d lootable now.	%d αντικείμενα εντός εμβέλειας σάρωσης, %d με δυνατότητα λουτ τώρα.
%d overrides	%d παρακάμψεις
%s (key %u, row %d, tier %d)	%s (κλειδί %u, γραμμή %d, βαθμίδα %d)
%s (never looted)	%s (δεν λεηλατήθηκε ποτέ)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s είναι αυτόματη μετάφραση που δεν έχει ελέγξει ακόμη κανείς. Διορθώσεις είναι ευπρόσδεκτες στο GitHub ή στη σελίδα του Nexus.
%s translated by %s.	%s, μετάφραση από %s.
%s, let go to keep it	%s, άσε τα πλήκτρα για να το κρατήσεις
1 match%s	1 αποτέλεσμα%s
3 of 3	3 από 3
\"%s\" already exists. Saving over it asks first.	Το \"%s\" υπάρχει ήδη. Η αντικατάστασή του θα ζητήσει επιβεβαίωση πρώτα.
A pet loots whatever it likes and the game has no switch for it. On: anything a pet, a mercenary or a companion picks up that your item rules, tags, classes or value floor would have refused is deleted from the inventory as it lands, and a notice says what went. Quest and protected items are never deleted, and nothing already in your bag is touched.\n\nWorth knowing before you turn this on: the game raises a companion's pick-up of a loose item as if you had picked it up yourself, and there is no way to tell the two apart. So while one is out and active, something you pick up by hand that your own rules refuse is deleted along with theirs. With nobody out, nothing you pick up is ever touched. If you would rather keep everything and sort it yourself, leave this off.	Ένα κατοικίδιο μαζεύει ό,τι του αρέσει και το παιχνίδι δεν έχει κανέναν διακόπτη γι' αυτό. Ενεργό: οτιδήποτε μαζεύει ένα κατοικίδιο, ένας μισθοφόρος ή ένας σύντροφος και το οποίο οι κανόνες αντικειμένων, οι ετικέτες, οι κατηγορίες ή το κατώφλι αξίας σου θα είχαν απορρίψει, διαγράφεται από το απόθεμα μόλις φτάσει εκεί, και μια ειδοποίηση λέει τι χάθηκε. Τα αντικείμενα αποστολής και τα προστατευμένα δεν διαγράφονται ποτέ, και τίποτα από όσα βρίσκονται ήδη στον σάκο σου δεν πειράζεται.\n\nΑξίζει να το ξέρεις πριν το ενεργοποιήσεις: το παιχνίδι αναφέρει το μάζεμα ενός πεσμένου αντικειμένου από σύντροφο σαν να το είχες μαζέψει εσύ ο ίδιος, και δεν υπάρχει τρόπος να ξεχωρίσουν τα δύο. Έτσι, όσο κάποιος είναι έξω και ενεργός, κάτι που μαζεύεις με το χέρι και το οποίο απορρίπτουν οι δικοί σου κανόνες διαγράφεται μαζί με τα δικά του. Όταν δεν είναι κανείς έξω, τίποτα από όσα μαζεύεις δεν πειράζεται ποτέ. Αν προτιμάς να τα κρατάς όλα και να τα ξεχωρίζεις μόνος σου, άφησέ το ανενεργό.
