# Teks menu Master Looter dalam Bahasa Indonesia (id). Terjemahan mesin; belum
# diperiksa oleh penutur asli. Koreksi dipersilakan di GitHub
# (github.com/shin2344234/master-looter) atau di halaman Nexus mod ini.
#
# Satu baris per teks: bahasa Inggris asli, satu tab, lalu terjemahannya.
# Baris yang diawali # diabaikan, \n berarti ganti baris, dan baris tanpa
# terjemahan setelah tab tetap ditampilkan dalam bahasa Inggris.
# Setiap %d, %s, %.1f, dan penanda lain harus tetap berada di urutan yang
# sama, karena nilainya disisipkan saat game berjalan; baris yang mengubah
# penanda ini diabaikan saat dimuat agar tidak menampilkan nilai yang salah.
#
# Simpan file dengan nama ini di sebelah MasterLooter.asi untuk menimpa
# salinan bawaan di dalam plugin.

  bag full	  tas penuh
 (first 250)	 (250 pertama)
%-18s %s (%zu hits)%s	%-18s %s (%zu hasil)%s
%d classes	%d kelas
%d items, %d classes, %d tags	%d item, %d kelas, %d tag
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d baris diabaikan: placeholder %%d atau %%s miliknya tidak cocok dengan bahasa Inggris, sehingga jika dipakai akan menampilkan nilai yang salah.
%d matches%s	%d hasil%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d jenis node dipelajari sesi ini. Node diberi nama sesuai prefab tempat mereka ditempatkan; apa pun yang terlewat oleh tabel itu diidentifikasi pertama kali saat menghasilkan sesuatu. Nomor jenis sebuah node berubah antar sesi, jadi tidak ada yang diingat setelah kamu keluar.
%d objects within scan range, %d lootable now.	%d objek dalam jangkauan pemindaian, %d bisa dijarah sekarang.
%d overrides	%d override
%s (key %u, row %d, tier %d)	%s (kunci %u, baris %d, tingkat %d)
%s (never looted)	%s (tidak pernah dijarah)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s adalah terjemahan mesin yang belum diperiksa siapa pun. Koreksi diterima di GitHub atau halaman Nexus.
%s translated by %s.	%s diterjemahkan oleh %s.
%s, let go to keep it	%s, lepaskan untuk menyimpannya
1 match%s	1 hasil%s
3 of 3	3 dari 3
\"%s\" already exists. Saving over it asks first.	\"%s\" sudah ada. Menyimpan di atasnya akan meminta konfirmasi dulu.
A pet loots whatever it likes and the game has no switch for it. On: anything a pet, a mercenary or a companion picks up that your item rules, tags, classes or value floor would have refused is deleted from the inventory as it lands, and a notice says what went. Quest and protected items are never deleted, and nothing already in your bag is touched.\n\nWorth knowing before you turn this on: the game raises a companion's pick-up of a loose item as if you had picked it up yourself, and there is no way to tell the two apart. So while one is out and active, something you pick up by hand that your own rules refuse is deleted along with theirs. With nobody out, nothing you pick up is ever touched. If you would rather keep everything and sort it yourself, leave this off.	Hewan peliharaan memungut apa pun yang disukainya dan gim ini tidak punya sakelar untuk itu. Aktif: apa pun yang dipungut hewan peliharaan, tentara bayaran, atau pendamping dan yang akan ditolak oleh aturan item, tag, kelas, atau ambang nilai milikmu akan dihapus dari inventaris begitu tiba, dan sebuah pemberitahuan menyebutkan apa yang hilang. Item quest dan item terlindungi tidak pernah dihapus, dan tidak ada yang sudah ada di tasmu yang disentuh.\n\nPerlu diketahui sebelum kamu mengaktifkannya: gim melaporkan pendamping yang memungut item di tanah seolah-olah kamu sendiri yang memungutnya, dan tidak ada cara membedakan keduanya. Jadi selama ada satu yang keluar dan aktif, sesuatu yang kamu pungut dengan tangan dan yang ditolak aturanmu sendiri ikut terhapus bersama miliknya. Jika tidak ada yang keluar, tidak ada yang kamu pungut yang pernah disentuh. Kalau kamu lebih suka menyimpan semuanya dan memilahnya sendiri, biarkan ini nonaktif.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Ember sumur dan sejenisnya tidak pernah dijarah, tapi mengaktifkannya membuat game menawarkan interaksinya sehingga kamu bisa memakainya sendiri.
Abyss and Kuku	Abyss dan Kuku
Abyss gear, Kuku pots and their parts.	Perlengkapan Abyss, pot Kuku, dan bagian-bagiannya.
Accessories	Aksesori
allowed	diizinkan
already in your bag	sudah ada di tasmu
always	selalu
always beats the class rule; never beats always	selalu mengalahkan aturan kelas; tidak pernah mengalahkan selalu
Ammunition	Amunisi
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Apa pun yang diberi tag quest, di semua kelas. Nonaktifkan untuk menyisakan barang cerita dan potongan teka-teki untuk kamu ambil sendiri.
Arm mechanism containers too	Aktifkan juga wadah mekanisme
Arm nodes ourselves	Aktifkan node secara mandiri
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Pengaktifan mengabaikan tembok. Jaga jangkauannya tetap pendek, atau kamu akan mengumpulkan barang menembus tembok ruangan sebelah. Bijih adalah pengecualian dan selalu dijangkau hingga 25 m, karena urat bijih butuh beberapa detik untuk merespons dan jika baru diminta saat kamu sudah tepat di atasnya, responsnya datang terlalu lambat untuk berguna.
Arming range	Jangkauan pengaktifan
Auto-loot enabled	Loot otomatis aktif
Auto-loot on / off	Aktifkan/nonaktifkan loot otomatis
Backups	Cadangan
blank for English	kosongkan untuk bahasa Inggris
Books and papers	Buku dan kertas
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Hadiah bos, artefak, item memori, kantong koin, dan peti hadiah.
Break veins open rather than emptying them	Pecahkan urat bijih daripada mengosongkannya
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Memecahkan menjalankan mesin status game itu sendiri pada urat bijih: ayunan mendarat lalu terjadi pecah, sehingga node menumpahkan isinya ke tanah dan menghilang persis seperti di bawah beliung. Mengosongkan justru mengangkat bijih langsung keluar dan melewatkan jatuhannya sama sekali. Kedua cara sama-sama tidak membayar Mining Yield Up alatmu, yang hanya diberikan game pada ayunan yang dianggapnya milikmu, jadi atur nilai tambahan di bawah untuk menutup selisihnya. Setiap urat bijih dipukul sekali lalu dibiarkan sampai game memunculkannya kembali.
