# Texto del menú de Master Looter en español de España (es).
# Traducción automática hecha por Claude, una IA de Anthropic. Todavía no
# la ha revisado ningún hablante nativo.
#
# Las correcciones son bienvenidas en GitHub
# (github.com/shin2344234/master-looter) o en la página del mod en Nexus.
#
# Una línea por texto: el original en inglés, una tabulación y la
# traducción. Las líneas que empiezan por # se ignoran. \n representa un
# salto de línea: mantén el mismo número de ellos. Una línea sin
# traducción tras la tabulación se queda en inglés, así que un archivo a
# medio hacer sigue siendo perfectamente utilizable.
#
# Todo %d, %s, %.1f y los demás marcadores deben aparecer en la
# traducción tal cual y en el mismo orden que en el inglés: sus valores se
# insertan en tiempo de ejecución, y una línea que los altere se ignora al
# cargar para no imprimir valores incorrectos.
#
# Guarda este archivo como MasterLooter.es.txt junto a MasterLooter.asi
# para que sustituya a la copia incorporada en el plugin.

  bag full	  bolsa llena
 (first 250)	 (primeros 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu coincidencias)%s
%d classes	%d clases
%d items, %d classes, %d tags	%d objetos, %d clases, %d etiquetas
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d línea(s) se ignoraron: sus marcadores %%d o %%s no coinciden con los del inglés, y usarlos habría mostrado valores incorrectos.
%d matches%s	%d coincidencias%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d tipos de punto identificados en esta sesión. Los puntos se nombran según el prefab con el que se colocaron; lo que esa tabla no recoge se identifica la primera vez que produce algo. El número de tipo de un punto cambia entre sesiones, así que no se recuerda nada después de salir.
%d objects within scan range, %d lootable now.	%d objetos dentro del alcance de exploración, %d saqueables ahora.
%d overrides	%d anulaciones
%s (key %u, row %d, tier %d)	%s (clave %u, fila %d, nivel %d)
%s (never looted)	%s (nunca saqueado)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s es una traducción automática que todavía no ha revisado nadie. Las correcciones son bienvenidas en GitHub o en la página de Nexus.
%s translated by %s.	%s, traducido por %s.
%s, let go to keep it	%s, suelta para conservarlo
1 match%s	1 coincidencia%s
3 of 3	3 de 3
\"%s\" already exists. Saving over it asks first.	\"%s\" ya existe. Se pedirá confirmación antes de sobrescribirlo.
A pet loots whatever it likes and the game has no switch for it. On: anything a pet, a mercenary or a companion picks up that your item rules, tags, classes or value floor would have refused is deleted from the inventory as it lands, and a notice says what went. Quest and protected items are never deleted, and nothing already in your bag is touched.\n\nWorth knowing before you turn this on: the game raises a companion's pick-up of a loose item as if you had picked it up yourself, and there is no way to tell the two apart. So while one is out and active, something you pick up by hand that your own rules refuse is deleted along with theirs. With nobody out, nothing you pick up is ever touched. If you would rather keep everything and sort it yourself, leave this off.	Una mascota saquea lo que le apetece y el juego no tiene ningún interruptor para ello. Activado: todo lo que una mascota, un mercenario o un acompañante recoja y que tus reglas de objeto, etiquetas, clases o umbral de valor habrían rechazado se borra del inventario nada más llegar, y un aviso dice qué se fue. Los objetos de misión y los protegidos no se borran nunca, y no se toca nada que ya esté en tu bolsa.\n\nConviene saberlo antes de activarlo: el juego notifica que un acompañante ha recogido un objeto del suelo como si lo hubieras recogido tú, y no hay forma de distinguir ambos casos. Así que mientras uno esté fuera y activo, algo que recojas a mano y que tus propias reglas rechacen se borra junto con lo suyo. Si no hay nadie fuera, nunca se toca nada de lo que recojas. Si prefieres quedarte con todo y ordenarlo tú, deja esto desactivado.
